State,Foil,Rudder,Wing,Config,TWS (km/h),VMG (km/h),BSP (km/h),TWA (deg),LEEWAY (deg),CANT (deg),HEEL (deg),EFF CANT (deg),RH LW (mm),DIFF (deg),AVG (deg),PITCH (deg),CA1 (deg),ROT (deg),CLEW (deg),TWIST (deg),CUNNO (kgf),JibLead (deg),JibSheet (kgf),AWS,AWA+Leeway,AWA-E1,TWSTop,AWSTop,AWA+Leeway Top,AWATop-E1,CA6,AWATop - CA6,AWA-JibLead
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,14,#ERROR!,50.0,122.0,1.1,1.4,1.0,#ERROR!,1400.0,1.5,4.6,-2.7,-26.0,#ERROR!,-0.5,13.0,375.0,6.0,480.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,16,#ERROR!,58.0,126.0,0.9,-1.0,1.0,#ERROR!,1400.0,1.5,4.6,-2.8,-25.0,#ERROR!,0.0,15.0,450.0,6.5,650.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,18,#ERROR!,62.0,130.0,0.7,-2.0,0.9,#ERROR!,1375.0,1.4,4.6,-3.1,-24.0,#ERROR!,0.5,16.0,530.0,7.0,730.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,20,#ERROR!,65.0,134.0,0.6,-3.0,0.8,#ERROR!,1350.0,1.2,4.5,-3.2,-23.5,#ERROR!,1.0,18.0,630.0,7.5,800.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,22,#ERROR!,67.0,137.0,0.4,-3.5,0.6,#ERROR!,1325.0,1.0,4.4,-3.3,-23.0,#ERROR!,1.5,19.0,710.0,7.7,780.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,24,#ERROR!,69.0,139.0,0.2,-3.9,0.5,#ERROR!,1300.0,0.8,4.4,-3.3,-23.0,#ERROR!,2.0,20.0,780.0,7.9,800.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,26,#ERROR!,70.5,141.0,0.1,-4.3,0.3,#ERROR!,1275.0,0.6,4.4,-3.3,-22.5,#ERROR!,2.5,20.0,830.0,8.1,750.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,28,#ERROR!,72.0,143.0,0.0,-4.5,0.1,#ERROR!,1250.0,0.5,4.3,-3.2,-22.0,#ERROR!,3.0,20.0,890.0,8.3,725.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,30,#ERROR!,73.0,145.0,0.0,-4.8,-0.1,#ERROR!,1225.0,0.5,4.3,-3.2,-21.8,#ERROR!,3.5,20.0,930.0,8.5,715.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,32,#ERROR!,74.0,147.0,0.0,-5.0,-0.4,#ERROR!,1210.0,0.4,4.1,-3.1,-21.5,#ERROR!,4.0,19.0,920.0,8.7,680.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
