State,Foil,Rudder,Wing,Config,TWS (km/h),VMG (km/h),BSP (km/h),TWA (deg),LEEWAY (deg),CANT (deg),HEEL (deg),EFF CANT (deg),RH LW (mm),DIFF (deg),AVG (deg),PITCH (deg),CA1 (deg),ROT (deg),CLEW (deg),TWIST (deg),CUNNO (kgf),JibLead (deg),JibSheet (kgf),AWS,AWA+Leeway,AWA-E1,TWSTop,AWSTop,AWA+Leeway Top,AWATop-E1,CA6,AWATop - CA6,AWA-JibLead
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,14,#ERROR!,45.0,70.0,2.3,4.0,3.0,#ERROR!,1180.0,1.6,5.5,-3.2,-19.0,#ERROR!,-1.5,23.0,500.0,5.5,450.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,16,#ERROR!,46.5,63.5,2.3,2.0,3.0,#ERROR!,1175.0,1.6,5.6,-3.2,-19.0,#ERROR!,-0.8,24.0,800.0,5.5,600.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,18,#ERROR!,49.0,58.7,2.2,0.0,3.0,#ERROR!,1170.0,1.5,5.6,-3.2,-18.5,#ERROR!,-0.5,25.5,1120.0,5.5,800.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,20,#ERROR!,51.5,54.6,2.0,-2.0,3.0,#ERROR!,1165.0,1.4,5.5,-3.4,-17.9,#ERROR!,-0.3,27.0,1350.0,5.5,1000.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,22,#ERROR!,53.6,52.6,1.8,-4.0,2.7,#ERROR!,1160.0,1.3,5.3,-3.5,-17.5,#ERROR!,-0.1,28.0,1575.0,5.5,1200.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,24,#ERROR!,55.8,50.9,1.5,-6.5,2.4,#ERROR!,1150.0,1.2,5.1,-3.5,-17.1,#ERROR!,0.2,29.0,1710.0,5.5,1380.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,26,#ERROR!,57.4,49.5,1.3,-9.0,2.1,#ERROR!,1135.0,1.1,4.9,-3.5,-16.8,#ERROR!,0.3,30.0,1800.0,5.5,1500.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,28,#ERROR!,58.3,48.4,1.1,-9.8,1.8,#ERROR!,1120.0,1.1,4.8,-3.5,-16.5,#ERROR!,0.4,30.5,1800.0,5.5,1600.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,30,#ERROR!,59.3,48.1,1.0,-10.0,1.5,#ERROR!,1110.0,1.1,4.6,-3.5,-16.3,#ERROR!,0.7,31.0,1800.0,5.5,1600.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,32,#ERROR!,60.1,47.5,0.9,-10.0,1.3,#ERROR!,1100.0,1.0,4.6,-3.5,-16.2,#ERROR!,0.9,31.5,1800.0,5.5,,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,34,#ERROR!,60.6,46.8,0.9,-10.0,1.2,#ERROR!,1100.0,1.0,4.6,-3.5,-16.0,#ERROR!,1.4,32.0,1800.0,5.5,,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,36,#ERROR!,61.1,46.1,1.0,-10.0,1.1,#ERROR!,1100.0,1.0,4.6,-3.4,-16.0,#ERROR!,1.6,32.0,1800.0,5.5,,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,38,#ERROR!,61.6,45.2,1.1,-10.0,1.0,#ERROR!,1100.0,1.0,4.7,-3.4,-15.9,#ERROR!,1.9,32.0,1800.0,5.8,,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,24,Foiling_HSB2_HSRW2-24m,40,#ERROR!,62.0,44.6,1.3,-10.0,0.9,#ERROR!,1100.0,1.0,4.6,-3.3,-15.7,#ERROR!,2.2,32.0,1800.0,6.0,,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,18,Foiling_HSB2_HSRW2-18m,20,#ERROR!,49.0,55.0,2.0,-1.0,3.0,#ERROR!,1200.0,1.4,5.3,-3.2,-20.0,#ERROR!,-2.5,14.0,1000.0,5.0,800.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
Foiling,HSB2,HSRW2,18,Foiling_HSB2_HSRW2-18m,22,#ERROR!,51.3,53.0,1.5,-3.0,2.7,#ERROR!,1180.0,1.3,4.9,-3.2,-18.5,#ERROR!,-2.0,17.0,1200.0,5.3,1000.0,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
